Date,prec_qc,prec_chirps,day,month,year,tmax_qc,tmin_qc,tmean,rhum,sbright
1981-01-01,0,1.2832,1,1,1981,NA,NA,NA,NA,NA
1981-01-02,0,1.6125,2,1,1981,NA,NA,NA,NA,NA
1981-01-03,0,0.7987,3,1,1981,NA,NA,NA,NA,NA
1981-01-04,0,0,4,1,1981,NA,NA,NA,NA,NA
1981-01-05,0,0,5,1,1981,NA,NA,NA,NA,NA
1981-01-06,2.2,0,6,1,1981,NA,NA,NA,NA,NA
1981-01-07,11.7,8.8205,7,1,1981,NA,NA,NA,NA,NA
1981-01-08,20.1,8.8205,8,1,1981,NA,NA,NA,NA,NA
1981-01-09,0,26.4615,9,1,1981,NA,NA,NA,NA,NA
1981-01-10,0,0,10,1,1981,NA,NA,NA,NA,NA
1981-01-11,0,0,11,1,1981,NA,NA,NA,NA,NA
1981-01-12,0,0,12,1,1981,NA,NA,NA,NA,NA
1981-01-13,0,0,13,1,1981,NA,NA,NA,NA,NA
1981-01-14,0,0,14,1,1981,NA,NA,NA,NA,NA
1981-01-15,0,0,15,1,1981,NA,NA,NA,NA,NA
1981-01-16,0,0,16,1,1981,NA,NA,NA,NA,NA
1981-01-17,0,0,17,1,1981,NA,NA,NA,NA,NA
1981-01-18,0,0,18,1,1981,NA,NA,NA,NA,NA
1981-01-19,0,0,19,1,1981,NA,NA,NA,NA,NA
1981-01-20,0,0,20,1,1981,NA,NA,NA,NA,NA
1981-01-21,0,1.5334,21,1,1981,NA,NA,NA,NA,NA
1981-01-22,0,1.5334,22,1,1981,NA,NA,NA,NA,NA
1981-01-23,0,0,23,1,1981,NA,NA,NA,NA,NA
1981-01-24,0,0,24,1,1981,NA,NA,NA,NA,NA
1981-01-25,0,0,25,1,1981,NA,NA,NA,NA,NA
1981-01-26,0,0,26,1,1981,NA,NA,NA,NA,NA
1981-01-27,0,0,27,1,1981,NA,NA,NA,NA,NA
1981-01-28,2.3,4.4365,28,1,1981,NA,NA,NA,NA,NA
1981-01-29,0,0,29,1,1981,NA,NA,NA,NA,NA
1981-01-30,1.4,0,30,1,1981,NA,NA,NA,NA,NA
1981-01-31,0.6,26.6189,31,1,1981,NA,NA,NA,NA,NA
1981-02-01,6.2,0,1,2,1981,NA,NA,NA,NA,NA
1981-02-02,1.9,13.1603,2,2,1981,NA,NA,NA,NA,NA
1981-02-03,7.3,17.5471,3,2,1981,NA,NA,NA,NA,NA
1981-02-04,0,0,4,2,1981,NA,NA,NA,NA,NA
1981-02-05,6.8,4.3868,5,2,1981,NA,NA,NA,NA,NA
1981-02-06,15.8,5.0765,6,2,1981,NA,NA,NA,NA,NA
1981-02-07,17.9,11.6033,7,2,1981,NA,NA,NA,NA,NA
1981-02-08,0.1,0,8,2,1981,NA,NA,NA,NA,NA
1981-02-09,0,5.0765,9,2,1981,NA,NA,NA,NA,NA
1981-02-10,0,0,10,2,1981,NA,NA,NA,NA,NA
1981-02-11,0.4,7.6062,11,2,1981,NA,NA,NA,NA,NA
1981-02-12,44.9,7.6062,12,2,1981,NA,NA,NA,NA,NA
1981-02-13,1.2,15.2125,13,2,1981,NA,NA,NA,NA,NA
1981-02-14,0,7.6062,14,2,1981,NA,NA,NA,NA,NA
1981-02-15,35.2,0,15,2,1981,NA,NA,NA,NA,NA
1981-02-16,0,0,16,2,1981,NA,NA,NA,NA,NA
1981-02-17,1,4.8188,17,2,1981,NA,NA,NA,NA,NA
1981-02-18,6.4,0,18,2,1981,NA,NA,NA,NA,NA
1981-02-19,12.2,9.6377,19,2,1981,NA,NA,NA,NA,NA
1981-02-20,0.5,19.2753,20,2,1981,NA,NA,NA,NA,NA
1981-02-21,0,18.9517,21,2,1981,NA,NA,NA,NA,NA
1981-02-22,31.2,9.4758,22,2,1981,NA,NA,NA,NA,NA
1981-02-23,0,5.4148,23,2,1981,NA,NA,NA,NA,NA
1981-02-24,2.7,4.7379,24,2,1981,NA,NA,NA,NA,NA
1981-02-25,0,0,25,2,1981,NA,NA,NA,NA,NA
1981-02-26,0,0,26,2,1981,NA,NA,NA,NA,NA
1981-02-27,0,2.7816,27,2,1981,NA,NA,NA,NA,NA
1981-02-28,0,2.7816,28,2,1981,NA,NA,NA,NA,NA
